compound_id,compound_title,critical_value,Sample ID,"Concentration
(ng)","Intensity
(cps)","Mass
(m/z)","Mass 15 Intensity
(cps)","Mass 18 Intensity
(cps)",Mass 18 Ratio,threshold,Classification,True Label,Above Threshold,Mass 15 Ratio,
Compound_G,Compound G,170.0,01_Blank_1,0,165,15,165,140,0.5,1700.0,True Negative,0,0,,
Compound_G,Compound G,170.0,01_Blank_2,0,165,15,165,140,0.5,1700.0,True Negative,0,0,,
Compound_G,Compound G,170.0,01_Blank_3,0,165,15,165,140,0.5,1700.0,True Negative,0,0,,
Compound_G,Compound G,170.0,01_Blank_4,0,165,15,165,140,0.5,1700.0,True Negative,0,0,,
Compound_G,Compound G,170.0,01_Blank_5,0,165,15,165,140,0.5,1700.0,True Negative,0,0,,
Compound_G,Compound G,170.0,01_Blank_6,0,171,15,171,150,0.5,1700.0,True Negative,0,0,,
Compound_G,Compound G,170.0,01_Blank_7,0,171,15,171,150,0.5,1700.0,True Negative,0,0,,
Compound_G,Compound G,170.0,01_Blank_8,0,150,15,150,150,0.5,1700.0,True Negative,0,0,,
Compound_G,Compound G,170.0,01_Blank_9,0,150,15,150,160,0.5,1700.0,True Negative,0,0,,
Compound_G,Compound G,170.0,01_Blank_10,0,150,15,150,160,0.5,1700.0,True Negative,0,0,,
Compound_G,Compound G,170.0,01_Blank_11,0,150,15,150,170,0.5,1700.0,True Negative,0,0,,
Compound_G,Compound G,170.0,01_Blank_12,0,150,15,150,170,0.5,1700.0,True Negative,0,0,,
Compound_G,Compound G,170.0,02_Analyte4_1,4,168,15,168,180,0.5,1700.0,False Negative,1,0,,
Compound_G,Compound G,170.0,02_Analyte4_2,4,168,15,168,180,0.5,1700.0,False Negative,1,0,,
Compound_G,Compound G,170.0,02_Analyte4_3,4,180,15,180,180,0.5,1700.0,False Negative,1,0,,
Compound_G,Compound G,170.0,02_Analyte4_4,4,180,15,180,180,0.5,1700.0,False Negative,1,0,,
Compound_G,Compound G,170.0,02_Analyte4_5,4,180,15,180,180,0.5,1700.0,False Negative,1,0,,
Compound_G,Compound G,170.0,02_Analyte4_6,4,180,15,180,180,0.5,1700.0,False Negative,1,0,,
Compound_G,Compound G,170.0,02_Analyte4_7,4,180,15,180,160,0.5,1700.0,False Negative,1,0,,
Compound_G,Compound G,170.0,02_Analyte4_8,4,175,15,175,160,0.5,1700.0,False Negative,1,0,,
Compound_G,Compound G,170.0,02_Analyte4_9,4,175,15,175,160,0.5,1700.0,False Negative,1,0,,
Compound_G,Compound G,170.0,02_Analyte4_10,4,175,15,175,160,0.5,1700.0,False Negative,1,0,,
Compound_G,Compound G,170.0,02_Analyte4_11,4,175,15,175,200,0.5,1700.0,False Negative,1,0,,
Compound_G,Compound G,170.0,02_Analyte4_12,4,175,15,175,200,0.5,1700.0,False Negative,1,0,,
Compound_G,Compound G,170.0,02_Analyte4_10,4,190,15,190,200,0.5,1700.0,False Negative,1,0,,
Compound_G,Compound G,170.0,02_Analyte4_11,4,190,15,240,200,0.5,1700.0,False Negative,1,0,,
Compound_G,Compound G,170.0,02_Analyte4_12,4,190,15,190,200,0.5,1700.0,False Negative,1,0,,
Compound_G,Compound G,170.0,03_ANALYTE10_1,10,200,15,200,190,0.5,1700.0,False Negative,1,0,,
Compound_G,Compound G,170.0,03_ANALYTE10_2,10,200,15,200,190,0.5,1700.0,False Negative,1,0,,
Compound_G,Compound G,170.0,03_ANALYTE10_3,10,200,15,200,260,0.5,1700.0,False Negative,1,0,,
Compound_G,Compound G,170.0,03_ANALYTE10_4,10,200,15,200,260,0.5,1700.0,False Negative,1,0,,
